Rules,sv
Impidimp ,
Morgrem ,
Grimmsnarl ,
perrseker,
Falinks ,
Pincurchin ,
Snom ,
Frosmoth ,
Stonjourner ,
Eiscue ,
Indeedee ,
Cufant ,
Copperajah ,
Dreepy ,
Drakloak ,
Dragapult ,
Kubfu,
Urshifu,
Regieleki,
Regidrago,
Glastrier,
Spectrier,
Wyrdeer,
Kleavor,
Ursaluna,default
Basculegion,
Sneasler,
Overqwil,
Enamorus,
Sprigatito ,
Floragato ,
Meowscarada ,
Fuecoco ,
Crocalor ,
Skeledirge ,
Quaxly ,
Quaxwell ,
Quaquaval ,
Lechonk ,
Oinkologne ,
Tarountula ,
Spidops ,
Nymble ,
Lokix ,
Pawmi ,
Pawmo ,
Pawmot ,
Tandemaus ,
Maushold ,
Fidough ,
Dachsbun ,
Smoliv ,
Dolliv ,
Arboliva ,
Squawkabilly ,
Nacli ,
Naclstack ,
Garganacl ,
Charcadet ,
Armarouge ,
Ceruledge ,
Tadbulb ,
Bellibolt ,
Wattrel ,
Kilowattrel ,
Maschiff ,
Mabosstiff ,
Shroodle ,
Grafaiai ,
Bramblin ,
Brambleghast ,
Toedscool ,
Toedscruel ,
Klawf ,
Capsakid ,
Scovillain ,
Rellor ,
Rabsca ,
Flittle ,
Espathra ,
Tinkatink ,
Tinkatuff ,
Tinkaton ,
Wiglett ,
Wugtrio ,
Bombirdier ,
Finizen ,
Palafin ,
Varoom ,
Revavroom ,default
Cyclizar ,
Orthworm ,
Glimmet ,
Glimmora ,
Greavard ,
Houndstone ,
Flamigo ,
Cetoddle ,
Cetitan ,
Veluza ,
Dondozo ,
Tatsugiri ,
Annihilape ,
Clodsire ,
Farigiraf ,
Dudunsparce ,
Kingambit ,
Great Tusk,
Scream Tail,
Brute Bonnet,
Flutter Mane,
Slither Wing,
Sandy Shocks,
Iron Treads,
Iron Bundle,
Iron Hands,
Iron Jugulis,
Iron Moth,
Iron Thorns,
Frigibax ,
Arctibax ,
Baxcalibur ,
Gimmighoul ,
Gholdengo ,
Wo-chien,
Chien-pao,
Ting-lu,
Chi-yu,
Roaring Moon,
Iron Valliant,
