Rules,sv
Fidough ,
Dachsbun ,
Smoliv ,
Dolliv ,
Arboliva ,
Squawkabilly ,
Nacli ,
Naclstack ,
Charcadet ,
Armarouge ,
Tadbulb ,
Bellibolt ,
Wattrel ,
Kilowattrel ,
Maschiff ,
Mabosstiff ,
Shroodle ,
Grafaiai ,
Bramblin ,
Brambleghast ,
Toedscool ,
Toedscruel ,
Klawf ,
Capsakid ,
Scovillain ,
Rellor ,
Rabsca ,
Flittle ,
Espathra ,
Tinkatink ,
Tinkatuff ,
Tinkaton ,
Wiglett ,
Wugtrio ,
Bombirdier ,
Finizen ,
Varoom ,
Revavroom ,default
Orthworm ,
Glimmet ,
Greavard ,
Flamigo ,
Cetoddle ,
Cetitan ,
Veluza ,
Tatsugiri ,
Clodsire ,
Farigiraf ,
Dudunsparce ,
scream_tail,
brute_bonnet,
slither_wing,
sandy_shocks,
iron_jugulis,
iron_thorns,
Frigibax ,
Arctibax ,
Baxcalibur ,
Gimmighoul ,chest
wo_chien,
