Rules,sv
Gogoat ,
Skrelp ,
Dragalge ,
Clauncher ,
Clawitzer ,
Sylveon ,
Hawlucha ,
Dedenne ,
carbink,
Goomy ,
Sliggoo ,
Goodra ,
Klefki ,
Phantump,
Trevenant,
Bergmite ,
Avalugg ,
Noibat ,
Noivern ,
Rowlet,
Dartrix,
Decidueye,
Yungoos ,
Gumshoos ,default
Grubbin,
Charjabug,
Vikavolt,
Crabrawler ,
Crabominable ,
Oricorio ,
Cutiefly,
Ribombee,
Rockruff ,
Lycanroc ,
Mareanie ,
Toxapex ,
Mudbray ,
Mudsdale ,
Fomantis ,
Lurantis ,default
Salandit ,
Salazzle ,default
Bounsweet ,
Steenee ,
Tsareena ,
Oranguru ,
Passimian ,
Sandygast ,
Palossand ,
Komala ,
Mimikyu ,default
Bruxish ,
Jangmo-o,
Hakamo-o,
Kommo-o,
Grookey,
Thwackey,
Rillaboom,
Scorbunny,
Raboot,
Cinderace,
Sobbel,
Drizzile,
Inteleon,
Skwovet ,
Greedent ,
Rookidee ,
Corvisquire ,
Corviknight ,
Chewtle ,
Drednaw ,
Rolycoly ,
Carkol ,
Coalossal ,
Applin ,
Flapple ,
Appletun ,
Silicobra ,
Sandaconda ,
Cramorant,
Arrokuda ,
Barraskewda ,
Toxel ,
Toxtricity ,
Sinistea ,
Polteageist ,
Hatenna ,
Hattrem ,
Hatterene ,
Impidimp ,
Morgrem ,
Grimmsnarl ,
Perrseker,
Falinks ,
Pincurchin ,
Snom ,
Frosmoth ,
Stonjourner ,
Eiscue ,
Indeedee ,
Morpeko,
Cufant ,
Copperajah ,
Dreepy ,
Drakloak ,
Dragapult ,
Kubfu,
Urshifu,
Regieleki,
Regidrago,
Glastrier,
Spectrier,
Wyrdeer,
Kleavor,
Ursaluna,
Basculegion,
Sneasler,
Overqwil,
Enamorus,
Sprigatito ,
Floragato ,
Meowscarada ,
Fuecoco ,
Crocalor ,
Skeledirge ,
Quaxly ,
Quaxwell ,
Quaquaval ,
Lechonk ,
Oinkologne ,
Tarountula ,
Spidops ,
Nymble ,
Lokix ,
Pawmi ,
Pawmo ,
Pawmot ,
Tandemaus ,
Maushold ,
Fidough ,
Dachsbun ,
Smoliv ,
Dolliv ,
Arboliva ,
Squawkabilly ,
Nacli ,
Naclstack ,
Garganacl ,
Charcadet ,
Armarouge ,
Ceruledge ,
Tadbulb ,
Bellibolt ,
Wattrel ,
Kilowattrel ,
Maschiff ,
Mabosstiff ,
Shroodle ,
Grafaiai ,
Bramblin ,
Brambleghast ,
Toedscool ,
Toedscruel ,
Klawf ,
Capsakid ,
Scovillain ,
Rellor ,
Rabsca ,
Flittle ,
Espathra ,
Tinkatink ,
Tinkatuff ,
Tinkaton ,
Wiglett ,
Wugtrio ,
Bombirdier ,
Finizen ,
Palafin ,
Varoom ,
Revavroom ,default
Cyclizar ,
Orthworm ,
Glimmet ,
Glimmora ,
Greavard ,
Houndstone ,
Flamigo ,
Cetoddle ,
Cetitan ,
Veluza ,
Dondozo ,
Tatsugiri ,
Annihilape ,
Clodsire ,
Farigiraf ,
Dudunsparce ,
Kingambit ,
Great Tusk,
Scream Tail,
Brute Bonnet,
Flutter Mane,
Slither Wing,
Sandy Shocks,
Iron Treads,
Iron Bundle,
Iron Hands,
Iron Jugulis,
Iron Moth,
Iron Thorns,
Frigibax ,
Arctibax ,
Baxcalibur ,
Gimmighoul ,
Gholdengo ,
Wo-chien,
Chien-pao,
Ting-lu,
Chi-yu,
Roaring Moon,
Iron Valliant,
Dipplin,
Poltchageist,
Sinistcha,
Okidogi,
Munkidori,
Fezandipiti,
Ogerpon,
